Height (cm),Length (cm),Width (cm),Area (cm^2)
27.3,7.4,0.8,4.36
29.3,6.3,0.8,3.96
31.9,6.8,1.1,5.60
33.7,7.1,0.9,5.02
34.7,6.6,1.1,5.70
35.2,5.5,1.4,6.04
36.2,6.1,1.1,5.27
37.0,5.8,0.9,4.10
37.7,5.4,1.1,4.62
38.7,4.9,0.9,3.43
38.9,5.8,1.0,4.55
40.2,5.5,0.9,3.67
40.7,5.5,0.8,3.42
41.1,5.7,0.9,4.03
42.1,5.7,0.8,3.55
42.6,6.2,0.9,4.38
44.0,6.8,0.7,3.74
43.4,6.8,0.9,4.80
44.3,7.3,1.1,6.30
45.3,7.8,0.8,4.90
45.7,5.0,0.7,2.72
46.4,4.8,0.8,2.83
47.4,7.5,0.9,5.30
48.5,8.2,0.8,5.15
49.1,6.9,0.9,4.60
49.2,6.9,0.8,4.06
50.3,7.8,0.7,4.29
51.0,6.6,0.6,3.11
51.5,7.0,0.8,4.40
52.4,7.0,0.8,4.12
53.0,6.7,0.8,4.21
54.2,7.0,0.7,3.85
53.4,7.2,0.7,3.96
54.7,6.8,0.8,4.27
55.8,6.8,0.8,4.27
55.4,6.7,0.7,3.68
56.4,7.2,0.8,4.52
57.0,7.0,0.8,4.40
57.4,6.5,0.7,3.57
57.9,7.0,0.9,4.91
58.3,6.6,0.6,3.11
58.8,6.7,0.8,4.18
59.7,6.8,0.7,3.47
59.3,6.5,0.8,3.83
60.1,7.0,0.7,3.85
60.8,6.8,0.7,3.74
61.0,6.9,0.7,3.79
61.5,6.9,0.7,3.79
62.0,6.4,0.6,2.76
62.3,6.1,0.7,3.35
63.2,5.9,0.7,3.01
62.9,6.8,0.7,3.47
63.6,7.6,0.8,4.77
64.6,5.9,0.6,2.55
64.3,6.2,0.7,3.41
64.8,6.2,0.7,3.41
65.2,6.0,0.7,3.30
65.5,6.4,0.7,3.52
66.3,5.4,0.8,3.18
66.1,4.6,0.7,2.53
66.7,4.6,0.7,2.53
67.2,5.8,0.6,2.73
67.6,5.1,0.7,2.80
68.1,6.1,0.6,2.85
68.5,4.6,0.5,1.81
69.0,5.1,0.7,2.77
69.7,2.8,0.4,0.88
69.9,4.2,0.7,2.14
70.4,5.7,0.7,3.10
70.9,5.8,0.6,2.50
71.5,4.8,0.6,2.26
72.3,5.5,0.6,2.59
72.6,4.8,0.7,2.64
73.2,4.8,0.7,2.64
74.0,5.0,0.5,1.96
74.4,4.9,0.6,2.12
75.5,4.0,0.6,1.88
75.4,4.2,0.5,1.65
75.9,4.5,0.6,1.92
76.7,4.0,0.5,1.57
76.3,4.2,0.7,2.31
77.5,4.1,0.5,1.61
77.6,2.3,0.5,0.90
78.0,4.1,0.5,1.61
79.0,3.7,0.4,1.16
79.9,2.3,0.4,0.72
79.6,3.4,0.4,1.07
81.0,3.0,0.4,0.94
81.0,3.3,0.4,1.04
81.9,2.4,0.4,0.75
81.9,2.5,0.3,0.59
82.6,2.8,0.5,1.10
84.2,2.5,0.3,0.58
84.2,2.4,0.4,0.74
84.5,1.7,0.2,0.27
85.7,2.0,0.3,0.47
84.9,2.2,0.3,0.51
86.6,1.9,0.3,0.45
86.2,1.6,0.2,0.25
86.9,1.7,0.2,0.27
88.4,0.9,0.2,0.14
