Height (cm),Length (cm),Width (cm),Area (cm^2)
30.8,8.7,1.6,10.93
33.7,10.8,1.3,11.02
36.7,9.9,1.0,7.38
38.1,10.3,0.8,6.47
41.1,9.3,1.1,8.03
42.1,9.6,1.1,7.91
43.3,9.2,0.9,6.50
45.0,8.8,1.0,6.56
46.2,9.3,0.9,6.57
48.9,9.5,0.6,4.47
50.1,9.9,0.7,5.44
51.2,9.8,0.6,4.62
52.7,9.4,0.7,5.17
53.6,9.6,1.1,8.29
54.8,9.4,1.0,7.38
55.8,9.1,0.9,6.43
56.9,9.4,1.0,7.38
57.7,8.5,0.6,4.00
58.7,8.3,0.7,4.56
59.5,5.5,0.6,2.59
60.2,7.0,0.8,4.12
61.1,6.2,0.8,3.89
62.2,5.7,0.8,3.58
62.4,5.7,0.8,3.58
63.5,7.3,0.8,4.58
64.1,7.6,0.7,4.18
64.8,7.3,1.0,5.73
65.7,7.4,0.8,4.62
66.1,7.9,0.8,4.96
66.8,7.3,0.9,5.16
68.0,7.3,0.6,3.44
68.4,7.0,0.8,4.40
69.2,6.1,0.5,2.39
69.7,6.0,0.7,3.06
70.2,5.7,0.6,2.68
71.1,5.9,0.6,2.78
71.4,5.9,0.8,3.47
72.1,6.2,0.6,2.92
72.8,5.2,0.6,2.45
73.5,5.8,0.7,2.96
74.2,5.7,0.6,2.66
74.5,5.5,0.6,2.59
75.2,5.7,0.6,2.68
75.9,4.6,0.6,2.17
76.3,4.3,0.5,1.50
76.5,4.9,0.6,2.12
77.2,4.1,0.6,1.77
77.5,3.8,0.6,1.79
78.1,3.2,0.3,0.75
78.4,2.8,0.4,0.86
78.9,3.0,0.5,1.06
79.0,2.6,0.5,1.02
79.3,2.6,0.5,1.02
79.9,2.9,0.4,0.91
80.0,3.0,0.4,0.94
80.2,2.6,0.4,0.82
80.4,2.2,0.3,0.52
80.7,1.8,0.3,0.42
81.1,1.1,0.2,0.17
81.1,1.6,0.2,0.25
80.6,2.0,0.2,0.31
