Height (cm),Length (cm),Width (cm),Area (cm^2)
31.8,8.9,0.8,5.59
33.1,8.0,0.7,4.40
33.8,9.1,0.6,4.29
36.4,7.5,0.6,3.53
37.2,8.0,0.7,4.40
38.6,7.6,0.8,4.77
39.4,6.5,0.7,3.57
41.0,7.6,0.7,4.18
42.0,6.8,0.6,3.20
42.8,7.1,0.6,3.34
43.9,6.7,0.7,3.68
46.5,7.1,0.7,3.90
47.5,6.5,0.9,4.59
48.2,6.9,0.8,4.33
49.2,5.9,0.6,2.78
49.9,6.1,0.7,3.11
50.5,5.2,0.8,3.27
51.5,6.7,0.8,4.21
52.4,5.7,0.8,3.58
53.2,6.4,0.8,4.02
53.6,4.2,0.7,2.14
54.2,5.7,0.6,2.68
54.7,5.0,0.6,2.36
55.0,1.6,0.4,0.50
55.4,4.4,0.6,2.07
55.6,3.2,0.3,0.75
55.6,2.2,0.4,0.69
