Height (cm),Length (cm),Width (cm),Area (cm^2)
44.0,8.0,1.0,25.12
44.7,8.7,0.8,21.85
45.8,8.8,0.5,13.82
47.4,8.6,0.7,18.90
48.7,8.3,0.5,13.03
51.4,8.8,5.5,151.98
51.9,8.1,0.6,15.26
52.7,8.2,0.6,15.45
54.0,7.9,0.7,17.36
53.2,8.0,0.5,12.56
55.6,8.4,0.8,21.10
56.5,9.1,0.7,20.00
57.2,8.0,0.5,12.56
58.5,9.4,1.0,29.52
59.6,9.2,0.6,17.33
60.4,9.5,0.5,14.92
61.8,9.5,0.6,17.90
62.5,8.9,0.7,19.56
61.4,9.2,0.8,23.11
63.2,7.5,0.9,21.20
65.6,8.2,0.7,18.02
66.1,8.8,0.9,24.87
66.7,4.3,0.8,10.80
67.3,8.3,0.7,18.24
68.6,7.6,0.8,19.09
68.5,8.3,0.6,15.64
69.4,8.4,0.7,18.46
70.7,7.5,0.7,16.49
71.3,8.0,0.8,20.10
70.1,8.3,0.8,20.85
72.1,7.8,0.5,12.25
72.6,7.2,0.5,11.30
73.3,7.4,0.7,16.27
74.1,7.4,0.6,13.94
75.0,6.5,0.6,12.25
75.3,8.2,0.6,15.45
76.3,7.3,0.5,11.46
75.7,7.5,0.7,16.49
76.6,7.9,0.6,14.88
77.5,6.8,0.5,10.68
78.0,6.2,0.5,9.73
77.6,7.1,0.4,8.92
78.8,7.4,0.5,11.62
78.4,6.5,0.5,10.21
79.8,7.0,0.6,13.19
80.6,3.9,0.5,6.12
81.2,6.4,0.5,10.05
81.4,7.4,0.6,13.94
81.6,5.9,0.5,9.26
82.2,6.9,0.6,13.00
82.5,7.1,0.6,13.38
83.1,5.9,0.4,7.41
83.7,6.8,0.6,12.81
83.5,6.7,0.6,12.62
84.6,6.2,0.5,9.73
84.4,6.2,0.5,9.73
85.2,6.8,0.6,12.81
85.5,4.9,0.7,10.77
85.9,6.0,0.5,9.42
86.3,5.2,0.7,11.43
86.6,5.4,0.9,15.26
87.3,5.3,0.4,6.66
87.7,4.9,0.5,7.69
87.5,4.5,0.5,7.07
88.7,4.5,0.4,5.65
88.8,0.5,0.1,0.16
89.2,4.5,0.3,4.24
89.9,3.3,0.4,4.14
90.2,4.0,0.3,3.77
90.2,0.4,0.1,0.06
90.5,3.5,0.3,3.30
91.8,2.5,0.3,2.36
92.8,1.1,0.1,0.35
92.2,2.4,0.2,1.51
93.5,2.0,0.2,1.26
93.1,2.2,0.2,1.38
93.8,1.9,0.2,1.19
94.0,1.7,0.2,1.07
94.6,1.5,0.2,0.94
94.2,1.4,0.3,1.32
94.9,1.0,0.2,0.63
94.6,1.3,0.2,0.82
95.3,1.0,0.2,0.63
95.0,1.3,0.2,0.82
